0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:32:34 +0900] "POST /sample-web/SettlementConfirmAction.action HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:32:34 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:32:40 +0900] "POST /sample-web/SettlementCompleteAction.action HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:32:40 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:32:43 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:32:43 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:32:43 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:32:43 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:33:18 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5844
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:33:19 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:33:24 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:33:24 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:33:25 +0900] "POST /sample-web/MyPageAction HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:33:25 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:33:48 +0900] "POST /sample-web/PurchaseHistoryAction.action HTTP/1.1" 200 3587
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:33:48 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:34:23 +0900] "POST /sample-web/DeletePurchaseHistoryAction.action HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:34:24 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:34:41 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 5184
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:34:41 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:34:58 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 4503
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:34:58 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:02 +0900] "POST /sample-web/CreateUserCompleteAction.action HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:02 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:10 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 4503
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:10 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:14 +0900] "POST /sample-web/CreateUserCompleteAction.action HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:14 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:21 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 5184
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:21 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:31 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 4591
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:31 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:34 +0900] "POST /sample-web/CreateUserCompleteAction.action HTTP/1.1" 200 5203
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:34 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:36 +0900] "POST /sample-web/MyPageAction HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:36 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:38 +0900] "POST /sample-web/PurchaseHistoryAction.action HTTP/1.1" 200 2823
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:35:38 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:01 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:01 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:45 +0900] "POST /sample-web/LogoutAction HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:45 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:45 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:45 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:45 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:57 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:57 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:58 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:36:59 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:11 +0900] "GET /sample-web/ProductDetailsAction.action?productId=7 HTTP/1.1" 200 5828
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:11 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:14 +0900] "POST /sample-web/AddCartAction.action HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:14 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:16 +0900] "POST /sample-web/SettlementConfirmAction.action HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:17 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:22 +0900] "POST /sample-web/SettlementCompleteAction.action HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:22 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:25 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:25 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:25 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:25 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:30 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:30 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:31 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:31 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:34 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:34 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:35 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:35 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:37 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:37:37 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:38:15 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:38:15 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:38:56 +0900] "GET /sample-web/error.html HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:38:59 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:38:59 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:38:59 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:38:59 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:05 +0900] "GET /sample-web/footer.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:13 +0900] "GET /sample-web/cart.jsp HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:13 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:18 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:18 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
